model,graph,M_before,M_after,role,K,N,n,weight_MB_each,weight_MB_total,dtype,biased,kind_before,kind_after,kind_mix_before,kind_mix_after,w_before,w_after,kpc_after,pcn_after,in0_cores_after,w_space_before,w_space_after,w_memlayout_before,w_memlayout_after,best_w_le8,moved_to_ds,w_collapsed
janus_pro_1b,g0,104,104,gate/up,5632,2048,48,23.068672,1107.296256,bf16,0,default,default,defaultx48,defaultx48,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
llama_3_1_8b_instruct,g0,576,576,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,36,2,8,dram,dram,interleaved,interleaved,6,0,0
llama_3_1_8b_instruct,g0,576,576,qkv,4096,6144,32,26.738688,855.638016,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx31,mcast2dx1","mcast1dx31,mcast2dx1",2,2,16,24,8,dram,dram,interleaved,interleaved,8,0,0
llama_3_1_8b_instruct,g0,576,576,gate/up,4096,14336,64,33.030144,2113.929216,bfp_bf4,0,mcast1d,mcast1d,mcast1dx64,mcast1dx64,2,2,2,7,64,dram,dram,interleaved,interleaved,2,0,0
llama_3_1_8b_instruct,g0,576,576,lm_head,4096,128256,1,558.170112,558.170112,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
llama_3_1_8b_instruct,g0,576,576,down,14336,4096,32,62.390272,1996.488704,bfp_bf8,0,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,8,2,56,dram,dram,interleaved,interleaved,8,0,0
llama_3_2_1b_instruct,g0,576,576,o_proj,2048,2048,16,4.456448,71.303168,bfp_bf8,0,mcast1d,mcast1d,mcast1dx16,mcast1dx16,8,8,18,1,8,dram,dram,interleaved,interleaved,6,0,0
llama_3_2_1b_instruct,g0,576,576,qkv,2048,3072,16,6.684672,106.954752,bfp_bf8,0,mcast2d,mcast2d,mcast2dx16,mcast2dx16,2,2,8,12,8,dram,dram,interleaved,interleaved,8,0,0
llama_3_2_1b_instruct,g0,576,576,gate/up,2048,8192,32,17.825792,570.425344,bfp_bf8,0,mcast1d,mcast1d,mcast1dx32,mcast1dx32,2,2,2,4,32,dram,dram,interleaved,interleaved,2,0,0
llama_3_2_1b_instruct,g0,576,576,lm_head,2048,128256,1,279.085056,279.085056,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
llama_3_2_1b_instruct,g0,576,576,down,8192,2048,16,17.825792,285.212672,bfp_bf8,0,mcast1d,mcast1d,mcast1dx16,mcast1dx16,8,8,72,1,8,dram,dram,interleaved,interleaved,8,0,0
llama_3_2_3b_instruct,g0,576,576,o_proj,3072,3072,28,10.027008,280.756224,bfp_bf8,0,mcast1d,mcast1d,mcast1dx28,mcast1dx28,8,8,27,2,8,dram,dram,interleaved,interleaved,3,0,0
llama_3_2_3b_instruct,g0,576,576,qkv,3072,5120,28,16.71168,467.92704,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,12,20,8,dram,dram,interleaved,interleaved,6,0,0
llama_3_2_3b_instruct,g0,576,576,gate/up,3072,8192,56,26.738688,1497.366528,bfp_bf8,0,mcast1d,mcast1d,mcast1dx56,mcast1dx56,2,2,2,4,48,dram,dram,interleaved,interleaved,2,0,0
llama_3_2_3b_instruct,g0,576,576,lm_head,3072,128256,1,418.627584,418.627584,bfp_bf8,0,default,default,defaultx1,defaultx1,,,12,,8,dram,dram,interleaved,interleaved,6,0,0
llama_3_2_3b_instruct,g0,576,576,down,8192,3072,28,26.738688,748.683264,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,32,12,8,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_1,g0,544,544,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
microsoft_phi_1,g0,544,544,qkv,2048,14336,24,31.195136,748.683264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,2,2,2,7,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1,g0,544,544,lm_head,2048,51200,1,111.4112,111.4112,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,64,25,1,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_1,g0,544,544,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,68,1,8,dram,dram,interleaved,interleaved,4,0,0
microsoft_phi_1_5,g0,544,544,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
microsoft_phi_1_5,g0,544,544,qkv,2048,14336,24,31.195136,748.683264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,2,2,2,7,32,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_1_5,g0,544,544,lm_head,2048,51200,1,111.4112,111.4112,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,64,25,1,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_1_5,g0,544,544,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,mcast1d,mcast1d,mcast1dx24,mcast1dx24,8,8,68,1,8,dram,dram,interleaved,interleaved,4,0,0
microsoft_phi_2,g0,544,544,o_proj,2560,2560,32,6.9632,222.8224,bfp_bf8,1,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,22,10,8,dram,dram,interleaved,interleaved,2,0,0
microsoft_phi_2,g0,544,544,qkv,2560,17920,32,48.7424,1559.7568,bfp_bf8,1,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,10,70,8,dram,dram,interleaved,interleaved,5,0,0
microsoft_phi_2,g0,544,544,lm_head,2560,51200,1,139.264,139.264,bfp_bf8,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,80,25,1,dram,dram,interleaved,interleaved,8,0,0
microsoft_phi_2,g0,544,544,down,10240,2560,32,27.8528,891.2896,bfp_bf8,1,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,40,10,8,dram,dram,interleaved,interleaved,8,0,0
ministral_8b,g0,576,576,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,36,2,8,dram,dram,interleaved,interleaved,6,0,0
ministral_8b,g0,576,576,qkv,4096,6144,36,26.738688,962.592768,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx35,mcast2dx1","mcast1dx35,mcast2dx1",2,2,16,24,8,dram,dram,interleaved,interleaved,8,0,0
ministral_8b,g0,576,576,gate/up,4096,12288,72,53.477376,3850.371072,bfp_bf8,0,mcast1d,mcast1d,mcast1dx72,mcast1dx72,2,2,2,6,64,dram,dram,interleaved,interleaved,2,0,0
ministral_8b,g0,576,576,lm_head,4096,131072,1,570.425344,570.425344,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
ministral_8b,g0,576,576,down,12288,4096,36,53.477376,1925.185536,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,8,2,48,dram,dram,interleaved,interleaved,8,0,0
mistral_7b,g0,576,576,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,36,2,8,dram,dram,interleaved,interleaved,6,0,0
mistral_7b,g0,576,576,qkv,4096,6144,32,26.738688,855.638016,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx31,mcast2dx1","mcast1dx31,mcast2dx1",2,2,16,24,8,dram,dram,interleaved,interleaved,8,0,0
mistral_7b,g0,576,576,gate/up,4096,14336,64,62.390272,3992.977408,bfp_bf8,0,mcast1d,mcast1d,mcast1dx64,mcast1dx64,2,2,2,7,64,dram,dram,interleaved,interleaved,2,0,0
mistral_7b,g0,576,576,lm_head,4096,32768,1,142.606336,142.606336,bfp_bf8,0,mcast1d,mcast1d,mcast1dx1,mcast1dx1,2,2,2,16,64,dram,dram,interleaved,interleaved,2,0,0
mistral_7b,g0,576,576,down,14336,4096,32,62.390272,1996.488704,bfp_bf8,0,mcast1d,mcast1d,mcast1dx32,mcast1dx32,8,8,8,2,56,dram,dram,interleaved,interleaved,8,0,0
mnist,g0,32,32,other,128,10,1,0.00512,0.00512,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,4,4,4,1,1,dram,dram,interleaved,interleaved,4,0,0
mnist,g0,32,32,other,9216,128,1,4.718592,4.718592,f32,1,default,default,defaultx1,defaultx1,,,288,,1,dram,dram,interleaved,interleaved,8,0,0
mobilenetv2,g0,12,12,other,1280,1000,1,5.12,5.12,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
playground_v2_5,g0,77,77,qkv,64,77,12,0.019712,0.236544,f32,0,default,default,defaultx12,defaultx12,,,2,,1,dram,dram,interleaved,interleaved,2,0,0
playground_v2_5,g0,77,77,o_proj,77,64,12,0.019712,0.236544,f32,0,default,default,defaultx12,defaultx12,,,3,,1,dram,dram,interleaved,interleaved,3,0,0
playground_v2_5,g0,77,77,o_proj,768,768,12,2.359296,28.311552,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g0,77,77,other,768,2304,12,7.077888,84.934656,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g0,77,77,other,768,3072,12,9.437184,113.246208,f32,1,default,default,defaultx12,defaultx12,,,96,,1,dram,dram,interleaved,interleaved,8,0,0
playground_v2_5,g0,77,77,down,3072,768,12,9.437184,113.246208,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_0_5b_instruct,g0,544,544,o_proj,896,896,24,0.852992,20.471808,bfp_bf8,0,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,8,4,8,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_0_5b_instruct,g0,544,544,qkv,896,1152,24,1.096704,26.320896,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,4,5,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g0,544,544,gate/up,896,4864,48,4.630528,222.265344,bfp_bf8,0,mcast2d,mcast2d,mcast2dx48,mcast2dx48,2,2,4,19,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g0,544,544,lm_head,896,151936,1,144.643072,144.643072,bfp_bf8,0,default,default,defaultx1,defaultx1,,,4,,7,dram,dram,interleaved,interleaved,4,0,0
qwen_2_5_0_5b_instruct,g0,544,544,down,4864,896,24,4.630528,111.132672,bfp_bf8,0,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,22,4,7,dram,dram,interleaved,interleaved,2,0,0
qwen_2_5_1_5b_instruct,g0,544,544,o_proj,1536,1536,28,2.506752,70.189056,bfp_bf8,0,default,default,defaultx28,defaultx28,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_1_5b_instruct,g0,544,544,qkv,1536,2048,28,3.342336,93.585408,bfp_bf8,1,default,default,defaultx28,defaultx28,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_1_5b_instruct,g0,544,544,gate/up,1536,8960,56,14.62272,818.87232,bfp_bf8,0,default,default,defaultx56,defaultx56,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_1_5b_instruct,g0,544,544,lm_head,1536,151936,1,247.959552,247.959552,bfp_bf8,0,default,default,defaultx1,defaultx1,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_1_5b_instruct,g0,544,544,down,8960,1536,28,14.62272,409.43616,bfp_bf8,0,default,default,defaultx28,defaultx28,,,280,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_3b_instruct,g0,544,544,o_proj,2048,2048,36,4.456448,160.432128,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
qwen_2_5_3b_instruct,g0,544,544,qkv,2048,2560,36,5.57056,200.54016,bfp_bf8,1,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,8,10,8,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_3b_instruct,g0,544,544,gate/up,2048,11008,72,23.953408,1724.645376,bfp_bf8,0,mcast1d,mcast1d,mcast1dx72,mcast1dx72,2,2,2,6,32,dram,dram,interleaved,interleaved,2,0,0
qwen_2_5_3b_instruct,g0,544,544,lm_head,2048,151936,1,330.612736,330.612736,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
qwen_2_5_3b_instruct,g0,544,544,down,11008,2048,36,23.953408,862.322688,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,8,1,43,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g0,544,544,o_proj,3584,3584,28,13.647872,382.140416,bfp_bf8,0,default,default,defaultx28,defaultx28,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g0,544,544,qkv,3584,4608,28,17.547264,491.323392,bfp_bf8,1,default,default,defaultx28,defaultx28,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g0,544,544,gate/up,3584,18944,56,72.138752,4039.770112,bfp_bf8,0,default,default,defaultx56,defaultx56,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g0,544,544,lm_head,3584,152064,1,579.059712,579.059712,bfp_bf8,0,default,default,defaultx1,defaultx1,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_2_5_7b_instruct,g0,544,544,down,18944,3584,28,72.138752,2019.885056,bfp_bf8,0,default,default,defaultx28,defaultx28,,,592,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_3_0_6b,g0,544,544,gate/up,1024,3072,56,3.342336,187.170816,bfp_bf8,0,mcast2d,mcast2d,mcast2dx56,mcast2dx56,2,2,4,12,8,dram,dram,interleaved,interleaved,4,0,0
qwen_3_0_6b,g0,544,544,qkv,1024,4096,28,4.456448,124.780544,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,4,16,8,dram,dram,interleaved,interleaved,4,0,0
qwen_3_0_6b,g0,544,544,lm_head,1024,151936,1,165.306368,165.306368,bfp_bf8,0,default,default,defaultx1,defaultx1,,,4,,8,dram,dram,interleaved,interleaved,4,0,0
qwen_3_0_6b,g0,544,544,o_proj,2048,1024,28,2.228224,62.390272,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,17,4,8,dram,dram,interleaved,interleaved,1,0,0
qwen_3_0_6b,g0,544,544,down,3072,1024,28,3.342336,93.585408,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,12,4,8,dram,dram,interleaved,interleaved,6,0,0
qwen_3_1_7b,g0,544,544,o_proj,2048,2048,28,4.456448,124.780544,bfp_bf8,0,mcast1d,mcast1d,mcast1dx28,mcast1dx28,8,8,17,1,8,dram,dram,interleaved,interleaved,1,0,0
qwen_3_1_7b,g0,544,544,qkv,2048,4096,28,8.912896,249.561088,bfp_bf8,0,mcast1d,mcast1d,"mcast1dx27,mcast2dx1","mcast1dx27,mcast2dx1",8,8,8,16,8,dram,dram,interleaved,interleaved,8,0,0
qwen_3_1_7b,g0,544,544,gate/up,2048,6144,56,13.369344,748.683264,bfp_bf8,0,mcast1d,mcast1d,mcast1dx56,mcast1dx56,2,2,2,3,32,dram,dram,interleaved,interleaved,2,0,0
qwen_3_1_7b,g0,544,544,lm_head,2048,151936,1,330.612736,330.612736,bfp_bf8,0,default,default,defaultx1,defaultx1,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
qwen_3_1_7b,g0,544,544,down,6144,2048,28,13.369344,374.341632,bfp_bf8,0,mcast1d,mcast1d,mcast1dx28,mcast1dx28,8,8,51,1,8,dram,dram,interleaved,interleaved,3,0,0
qwen_3_4b,g0,544,544,qkv,2560,6144,36,16.71168,601.62048,bfp_bf8,0,mcast2d,mcast2d,"mcast2dx35,mcast1dx1","mcast2dx35,mcast1dx1",2,2,2,3,40,dram,dram,interleaved,interleaved,2,0,0
qwen_3_4b,g0,544,544,gate/up,2560,9728,72,26.46016,1905.13152,bfp_bf8,0,mcast2d,mcast2d,mcast2dx72,mcast2dx72,2,2,10,38,8,dram,dram,interleaved,interleaved,5,0,0
qwen_3_4b,g0,544,544,lm_head,2560,151936,1,413.26592,413.26592,bfp_bf8,0,default,default,defaultx1,defaultx1,,,10,,8,dram,dram,interleaved,interleaved,5,0,0
qwen_3_4b,g0,544,544,o_proj,4096,2560,36,11.14112,401.08032,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,34,10,8,dram,dram,interleaved,interleaved,2,0,0
qwen_3_4b,g0,544,544,down,9728,2560,36,26.46016,952.56576,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,38,10,8,dram,dram,interleaved,interleaved,2,0,0
qwen_3_4b_embedding,g0,576,576,qkv,18,128,36,0.009216,0.331776,f32,0,default,default,defaultx36,defaultx36,,,1,,1,dram,dram,interleaved,interleaved,1,0,0
qwen_3_4b_embedding,g0,576,576,o_proj,128,18,36,0.009216,0.331776,f32,0,default,default,defaultx36,defaultx36,,,4,,1,dram,dram,interleaved,interleaved,4,0,0
qwen_3_4b_embedding,g0,576,576,other,2560,6144,36,31.45728,1132.46208,bf16,0,default,default,defaultx36,defaultx36,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_3_4b_embedding,g0,576,576,gate/up,2560,9728,72,49.80736,3586.12992,bf16,0,default,default,defaultx72,defaultx72,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_3_4b_embedding,g0,576,576,o_proj,4096,2560,36,20.97152,754.97472,bf16,0,default,default,defaultx36,defaultx36,,,128,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_3_4b_embedding,g0,576,576,down,9728,2560,36,49.80736,1793.06496,bf16,0,default,default,defaultx36,defaultx36,,,304,,1,dram,dram,interleaved,interleaved,8,0,0
qwen_3_8b,g0,544,544,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,34,2,8,dram,dram,interleaved,interleaved,2,0,0
qwen_3_8b,g0,544,544,qkv,4096,6144,36,26.738688,962.592768,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,2,2,2,3,64,dram,dram,interleaved,interleaved,2,0,0
qwen_3_8b,g0,544,544,gate/up,4096,12288,72,53.477376,3850.371072,bfp_bf8,0,mcast1d,mcast1d,mcast1dx72,mcast1dx72,2,2,2,6,64,dram,dram,interleaved,interleaved,2,0,0
qwen_3_8b,g0,544,544,lm_head,4096,151936,1,661.225472,661.225472,bfp_bf8,0,default,default,defaultx1,defaultx1,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
qwen_3_8b,g0,544,544,down,12288,4096,36,53.477376,1925.185536,bfp_bf8,0,mcast1d,mcast1d,mcast1dx36,mcast1dx36,8,8,8,2,48,dram,dram,interleaved,interleaved,8,0,0
resnet,g0,8,8,other,2048,1000,1,8.192,8.192,f32,1,mcast1d,mcast1d,mcast1dx1,mcast1dx1,8,8,1,1,8,dram,dram,interleaved,interleaved,1,0,0
sdxl_lightning,g0,77,77,qkv,64,77,12,0.019712,0.236544,f32,0,default,default,defaultx12,defaultx12,,,2,,1,dram,dram,interleaved,interleaved,2,0,0
sdxl_lightning,g0,77,77,o_proj,77,64,12,0.019712,0.236544,f32,0,default,default,defaultx12,defaultx12,,,3,,1,dram,dram,interleaved,interleaved,3,0,0
sdxl_lightning,g0,77,77,o_proj,768,768,12,2.359296,28.311552,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g0,77,77,other,768,2304,12,7.077888,84.934656,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g0,77,77,other,768,3072,12,9.437184,113.246208,f32,1,default,default,defaultx12,defaultx12,,,96,,1,dram,dram,interleaved,interleaved,8,0,0
sdxl_lightning,g0,77,77,down,3072,768,12,9.437184,113.246208,f32,1,default,default,defaultx12,defaultx12,,,24,,1,dram,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,qkv,16,128,2,0.004096,0.008192,bf16,0,mcast1d,mcast1d,mcast1dx2,mcast1dx2,1,1,2,4,8,dram,dram,interleaved,interleaved,2,0,0
segformer,g0,256,256,o_proj,32,32,8,0.002048,0.016384,bf16,1,mcast1d,mcast1d,mcast1dx8,mcast1dx8,1,1,1,1,1,dram,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,gate/up,32,128,4,0.008192,0.032768,bf16,1,mcast1d,mcast1d,mcast1dx4,mcast1dx4,4,4,32,1,8,dram,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,other,32,256,6,0.016384,0.098304,bf16,0,default,default,defaultx6,defaultx6,,,1,,1,l1,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,o_proj,64,64,8,0.008192,0.065536,bf16,1,mcast1d,mcast1d,"mcast1dx4,mcast2dx4","mcast1dx4,mcast2dx4",2,2,2,2,1,dram,dram,interleaved,interleaved,2,0,0
segformer,g0,256,256,other,64,128,2,0.016384,0.032768,bf16,0,mcast1d,mcast1d,mcast1dx2,mcast1dx2,2,2,16,4,8,dram,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,other,64,256,2,0.032768,0.065536,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,8,8,16,2,8,dram,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,o_proj,128,32,2,0.008192,0.016384,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,1,1,1,4,1,dram,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,o_proj,128,128,2,0.032768,0.065536,bf16,0,mcast1d,mcast1d,mcast1dx2,mcast1dx2,4,4,64,4,8,dram,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,o_proj,160,160,8,0.0512,0.4096,bf16,1,mcast2d,mcast2d,mcast2dx8,mcast2dx8,1,1,1,1,5,dram,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,other,160,640,2,0.2048,0.4096,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,10,1,8,dram,dram,interleaved,interleaved,5,0,0
segformer,g0,256,256,o_proj,256,32,7,0.016384,0.114688,bf16,1,default,default,defaultx7,defaultx7,,,8,,1,l1,dram,interleaved,interleaved,8,0,0
segformer,g0,256,256,o_proj,256,64,3,0.032768,0.098304,bf16,1,mcast1d,mcast1d,"mcast1dx2,mcast2dx1","mcast1dx2,mcast2dx1",2,2,2,8,1,dram,dram,interleaved,interleaved,2,0,0
segformer,g0,256,256,lm_head,256,160,1,0.08192,0.08192,bf16,1,default,default,defaultx1,defaultx1,,,3,,8,dram,dram,interleaved,interleaved,3,0,0
segformer,g0,256,256,o_proj,256,256,3,0.131072,0.393216,bf16,1,mcast2d,mcast2d,mcast2dx3,mcast2dx3,2,2,1,1,8,dram,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,other,256,768,2,0.393216,0.786432,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,2,3,4,dram,dram,interleaved,interleaved,2,0,0
segformer,g0,256,256,other,256,1024,2,0.524288,1.048576,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,4,1,8,dram,dram,interleaved,interleaved,4,0,0
segformer,g0,256,256,o_proj,640,160,2,0.2048,0.4096,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,1,1,1,3,5,dram,dram,interleaved,interleaved,1,0,0
segformer,g0,256,256,down,1024,256,2,0.524288,1.048576,bf16,1,mcast2d,mcast2d,mcast2dx2,mcast2dx2,2,2,2,4,4,dram,dram,interleaved,interleaved,2,0,0
swin,g0,49,49,o_proj,49,32,48,0.003136,0.150528,bf16,0,default,default,defaultx48,defaultx48,,,1,,1,l1,dram,interleaved,interleaved,1,0,0
swin,g0,49,49,o_proj,96,96,2,0.018432,0.036864,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,3,3,26,3,8,dram,dram,interleaved,interleaved,2,0,0
swin,g0,49,49,qkv,96,384,2,0.073728,0.147456,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,12,12,12,3,1,dram,dram,interleaved,interleaved,6,0,0
swin,g0,49,49,o_proj,192,192,2,0.073728,0.147456,bf16,1,mcast1d,mcast1d,mcast1dx2,mcast1dx2,6,6,15,6,8,dram,dram,interleaved,interleaved,5,0,0
